Mod:Item:MetaData, Localized Name
Thaumcraft:blockMetalDevice:3, Construction alchimique anvancée
Thaumcraft:blockMetalDevice:12, Matrice mnémonique
Thaumcraft:blockMetalDevice:14, Relais de Vis
Thaumcraft:blockMetalDevice:2, Relais de recharge de Vis
Thaumcraft:blockWoodenDevice:0, Soufflet arcanique
Thaumcraft:blockWoodenDevice:1, Oreille arcanique
Thaumcraft:blockWoodenDevice:2, Plaque de pression arcanique
Thaumcraft:blockWoodenDevice:4, Base de foreuse arcanique
Thaumcraft:blockWoodenDevice:5, Foreuse arcanique
Thaumcraft:blockWoodenDevice:6, Planches de bois arcanique
Thaumcraft:blockWoodenDevice:7, Planches de bois d'argent
Thaumcraft:blockWoodenDevice:8, Bannière
Thaumcraft:blockWoodenDevice:8, Bannière blanche
Thaumcraft:blockWoodenDevice:8, Bannière orange
Thaumcraft:blockWoodenDevice:8, Bannière magenta
Thaumcraft:blockWoodenDevice:8, Bannière bleu clair
Thaumcraft:blockWoodenDevice:8, Bannière jaune
Thaumcraft:blockWoodenDevice:8, Bannière vert clair
Thaumcraft:blockWoodenDevice:8, Bannière rose
Thaumcraft:blockWoodenDevice:8, Bannière grise
Thaumcraft:blockWoodenDevice:8, Bannière gris clair
Thaumcraft:blockWoodenDevice:8, Bannière cyan
Thaumcraft:blockWoodenDevice:8, Bannière violette
Thaumcraft:blockWoodenDevice:8, Bannière bleue
Thaumcraft:blockWoodenDevice:8, Bannière marron
Thaumcraft:blockWoodenDevice:8, Bannière verte
Thaumcraft:blockWoodenDevice:8, Bannière rouge
Thaumcraft:blockWoodenDevice:8, Bannière noire
Thaumcraft:blockStoneDevice:0, Four alchimique
Thaumcraft:blockStoneDevice:1, Piédestal arcanique
Thaumcraft:blockStoneDevice:2, Matrice runique
Thaumcraft:blockStoneDevice:5, Piédestal de recharge pour baguette
Thaumcraft:blockStoneDevice:8, Focalisateur d'aspects composés
Thaumcraft:blockStoneDevice:9, Stabilisateur de nœud
Thaumcraft:blockStoneDevice:10, Stabilisateur de nœud avancé
Thaumcraft:blockStoneDevice:11, Transducteur de nœud
Thaumcraft:blockStoneDevice:12, Spa arcanique
Thaumcraft:blockStoneDevice:13, Manipulateur focal
Thaumcraft:blockStoneDevice:14, Brosse à Flux
Thaumcraft:blockMirror:0, Miroir magique
Thaumcraft:blockMirror:6, Miroir à essentia
Thaumcraft:blockTable:0, Table
Thaumcraft:blockTable:14, Table de déconstruction
Thaumcraft:blockTable:15, Atelier arcanique
Thaumcraft:blockChestHungry, Coffre affamé
Thaumcraft:blockArcaneDoor, Porte arcanique
Thaumcraft:blockLifter, Lévitateur arcanique
Thaumcraft:blockMagicBox, tile.blockMagicBox.name
Thaumcraft:blockAlchemyFurnace, Four alchimique avancé
Thaumcraft:blockJar:0, Bocal renforcé
Thaumcraft:blockJar:1, Cerveau en bocal
Thaumcraft:blockJar:3, Bocal du Vide
Thaumcraft:blockCandle:0, Chandelle de suif blanche
Thaumcraft:blockCandle:1, Chandelle de suif orange
Thaumcraft:blockCandle:2, Chandelle de suif magenta
Thaumcraft:blockCandle:3, Chandelle de suif bleu clair
Thaumcraft:blockCandle:4, Chandelle de suif jaune
Thaumcraft:blockCandle:5, Chandelle de suif vert clair
Thaumcraft:blockCandle:6, Chandelle de suif rose
Thaumcraft:blockCandle:7, Chandelle de suif grise
Thaumcraft:blockCandle:8, Chandelle de suif gris clair
Thaumcraft:blockCandle:9, Chandelle de suif cyan
Thaumcraft:blockCandle:10, Chandelle de suif violette
Thaumcraft:blockCandle:11, Chandelle de suif bleue
Thaumcraft:blockCandle:12, Chandelle de suif marron
Thaumcraft:blockCandle:13, Chandelle de suif verte
Thaumcraft:blockCandle:14, Chandelle de suif rouge
Thaumcraft:blockCandle:15, Chandelle de suif noire
Thaumcraft:blockEldritch:4, Pierre incrustée brillante
Thaumcraft:blockAiry:0, Noeud d'aura
Thaumcraft:blockManaPod, tile.blockManaPod.name
Thaumcraft:blockArcaneFurnace, Four infernal
Thaumcraft:blockWarded, tile.blockWarded.name
Thaumcraft:blockHole, Espace vide
Thaumcraft:blockPortalEldritch, Portail surnaturel
Thaumcraft:blockEssentiaReservoir:0, Réservoir à Essentia
Thaumcraft:blockEldritchNothing, tile.blockPortalNothing.name
Thaumcraft:blockStairsArcaneStone, Escalier en Pierre taillée arcanique
Thaumcraft:blockStairsGreatwood, Escalier en bois arcanique
Thaumcraft:blockStairsSilverwood, Escalier en bois d'argent
Thaumcraft:blockStairsEldritch, Escalier en pierre ancienne
Thaumcraft:blockCosmeticSlabWood:0, Dalle en bois arcanique
Thaumcraft:blockCosmeticSlabWood:1, Dalle en bois d'argent
Thaumcraft:blockCosmeticSlabStone:0, Dalle en Pierre taillée arcanique
Thaumcraft:blockCosmeticSlabStone:1, Dalle en pierre ancienne
Thaumcraft:blockCosmeticDoubleSlabWood, tile.blockCosmeticDoubleSlabWood.name
Thaumcraft:blockCosmeticDoubleSlabStone, tile.blockCosmeticDoubleSlabStone.name
Thaumcraft:blockLootUrn:0, Vielle urne
Thaumcraft:blockLootUrn:1, Vielle urne
Thaumcraft:blockLootUrn:2, Vielle urne
Thaumcraft:blockLootCrate:0, Caisse abandonnée
Thaumcraft:blockLootCrate:1, Caisse abandonnée
Thaumcraft:blockLootCrate:2, Caisse abandonnée
IC2:blockOreCopper, ic2.blockOreCopper.name
IC2:blockOreTin, ic2.blockOreTin.name
IC2:blockOreUran, ic2.blockOreUran.name
IC2:blockOreLead, ic2.blockOreLead.name
IC2:blockRubWood, ic2.blockRubWood.name
IC2:blockRubLeaves, ic2.blockRubLeaves.name
IC2:blockRubSapling, ic2.blockRubSapling.name
IC2:blockHarz, ic2.blockHarz.name
IC2:blockRubber, ic2.blockRubber.name
IC2:blockFenceIron, ic2.blockFenceIron.name
IC2:blockAlloy, ic2.blockAlloy.name
IC2:blockBasalt, ic2.blockBasalt.name
IC2:blockAlloyGlass, ic2.blockAlloyGlass.name
IC2:blockDoorAlloy, tile.blockDoorAlloy.name
IC2:blockReinforcedFoam, ic2.blockReinforcedFoam.name
IC2:blockFoam, ic2.blockFoam.name
IC2:blockWall, ic2.blockWall.name
IC2:blockScaffold, ic2.blockScaffold.name
IC2:blockIronScaffold, ic2.blockIronScaffold.name
IC2:blockMetal:0, ic2.blockMetalCopper
IC2:blockMetal:1, ic2.blockMetalTin
IC2:blockMetal:2, ic2.blockMetalBronze
IC2:blockMetal:3, ic2.blockMetalUranium
IC2:blockMetal:4, ic2.blockMetalLead
IC2:blockMetal:5, ic2.blockMetalAdvIron
IC2:blockCable, ic2.blockCable.name
IC2:blockKineticGenerator:0, ic2.blockWindKineticGenerator
IC2:blockKineticGenerator:1, ic2.blockSteamKineticGenerator
IC2:blockKineticGenerator:2, ic2.blockElectricKineticGenerator
IC2:blockKineticGenerator:3, ic2.blockManualKineticGenerator
IC2:blockKineticGenerator:4, ic2.blockWaterKineticGenerator
IC2:blockKineticGenerator:5, ic2.blockStirlingKineticGenerator
IC2:blockHeatGenerator:0, ic2.blockSolidHeatGenerator
IC2:blockHeatGenerator:1, ic2.blockFluidHeatGenerator
IC2:blockHeatGenerator:2, ic2.blockRTHeatGenerator
IC2:blockHeatGenerator:3, ic2.blockElectricHeatGenerator
IC2:blockGenerator:0, ic2.blockGenerator
IC2:blockGenerator:1, ic2.blockGeoGenerator
IC2:blockGenerator:2, ic2.blockWaterGenerator
IC2:blockGenerator:3, ic2.blockSolarGenerator
IC2:blockGenerator:4, ic2.blockWindGenerator
IC2:blockGenerator:5, ic2.blockNuclearReactor
IC2:blockGenerator:6, ic2.blockRTGenerator
IC2:blockGenerator:7, ic2.blockSemifluidGenerator
IC2:blockGenerator:8, ic2.blockStirlingGenerator
IC2:blockGenerator:9, ic2.blockKineticGenerator
IC2:blockReactorChamber, ic2.blockReactorChamber.name
IC2:blockReactorFluidPort, ic2.blockReactorFluidPort.name
IC2:blockReactorAccessHatch, ic2.blockReactorAccessHatch.name
IC2:blockReactorRedstonePort, ic2.blockReactorRedstonePort.name
IC2:blockreactorvessel, ic2.blockreactorvessel.name
IC2:blockElectric:3, ic2.blockTransformerLV
IC2:blockElectric:4, ic2.blockTransformerMV
IC2:blockElectric:5, ic2.blockTransformerHV
IC2:blockElectric:6, ic2.blockTransformerEV
IC2:blockElectric:0, ic2.blockBatBox
IC2:blockElectric:7, ic2.blockCESU
IC2:blockElectric:1, ic2.blockMFE
IC2:blockElectric:2, ic2.blockMFSU
IC2:blockElectric:0, ic2.blockBatBox
IC2:blockElectric:7, ic2.blockCESU
IC2:blockElectric:1, ic2.blockMFE
IC2:blockElectric:2, ic2.blockMFSU
IC2:blockChargepad:0, ic2.blockChargepadBatBox
IC2:blockChargepad:1, ic2.blockChargepadCESU
IC2:blockChargepad:2, ic2.blockChargepadMFE
IC2:blockChargepad:3, ic2.blockChargepadMFSU
IC2:blockChargepad:0, ic2.blockChargepadBatBox
IC2:blockChargepad:1, ic2.blockChargepadCESU
IC2:blockChargepad:2, ic2.blockChargepadMFE
IC2:blockChargepad:3, ic2.blockChargepadMFSU
IC2:blockMachine:0, ic2.blockMachine
IC2:blockMachine:1, ic2.blockIronFurnace
IC2:blockMachine:2, ic2.blockElecFurnace
IC2:blockMachine:3, ic2.blockMacerator
IC2:blockMachine:4, ic2.blockExtractor
IC2:blockMachine:5, ic2.blockCompressor
IC2:blockMachine:6, ic2.blockCanner
IC2:blockMachine:7, ic2.blockMiner
IC2:blockMachine:8, ic2.blockPump
IC2:blockMachine:9, ic2.blockMagnetizer
IC2:blockMachine:10, ic2.blockElectrolyzer
IC2:blockMachine:11, ic2.blockRecycler
IC2:blockMachine:12, ic2.blockAdvMachine
IC2:blockMachine:13, ic2.blockInduction
IC2:blockMachine:14, ic2.blockMatter
IC2:blockMachine:15, ic2.blockTerra
IC2:blockMachine2:0, ic2.blockTeleporter
IC2:blockMachine2:1, ic2.blockTesla
IC2:blockMachine2:2, ic2.blockCropmatron
IC2:blockMachine2:3, ic2.blockCentrifuge
IC2:blockMachine2:4, ic2.blockMetalFormer
IC2:blockMachine2:5, ic2.blockOreWashingPlant
IC2:blockMachine2:6, ic2.blockPatternStorage
IC2:blockMachine2:7, ic2.blockScanner
IC2:blockMachine2:8, ic2.blockReplicator
IC2:blockMachine2:9, ic2.blockSolidCanner
IC2:blockMachine2:10, ic2.blockFluidBottler
IC2:blockMachine2:11, ic2.blockAdvMiner
IC2:blockMachine2:12, ic2.blockLiquidHeatExchanger
IC2:blockMachine2:13, ic2.blockFermenter
IC2:blockMachine2:14, ic2.blockFluidRegulator
IC2:blockMachine2:15, ic2.blockCondenser
IC2:blockMachine3:0, ic2.blockSteamGenerator
IC2:blockMachine3:1, ic2.blockBlastFurnace
IC2:blockMachine3:2, ic2.blockBlockCutter
IC2:blockMachine3:3, ic2.blockSolarDestiller
IC2:blockMachine3:4, ic2.blockFluidDistributor
IC2:blockMachine3:5, ic2.blockSortingMachine
IC2:blockMachine3:6, ic2.blockItemBuffer
IC2:blockMachine3:7, ic2.blockCropHavester
IC2:blockMachine3:8, ic2.blockLathe
IC2:blockLuminatorDark, ic2.blockLuminatorDark.name
IC2:blockLuminator, ic2.blockLuminator.name
IC2:blockMiningPipe, ic2.blockMiningPipe.name
IC2:blockMiningTip, ic2.blockMiningTip.name
IC2:blockPersonal:0, ic2.blockPersonalChest
IC2:blockPersonal:1, ic2.blockPersonalTrader
IC2:blockPersonal:2, ic2.blockPersonalTraderEnergy
IC2:blockITNT, ic2.blockITNT.name
minecraft:iron_shovel, Pelle en fer
minecraft:iron_pickaxe, Pioche en fer
minecraft:iron_axe, Hache en fer
minecraft:flint_and_steel, Briquet
minecraft:apple, Pomme
minecraft:bow, Arc
minecraft:arrow, Flèche
minecraft:coal:0, Charbon
minecraft:coal:1, Charbon de bois
minecraft:diamond, Diamant
minecraft:iron_ingot, Lingot de fer
minecraft:gold_ingot, Lingot d'or
minecraft:iron_sword, Épée en fer
minecraft:wooden_sword, Épée en bois
minecraft:wooden_shovel, Pelle en bois
minecraft:wooden_pickaxe, Pioche en bois
minecraft:wooden_axe, Hache en bois
minecraft:stone_sword, Épée en pierre
minecraft:stone_shovel, Pelle en pierre
minecraft:stone_pickaxe, Pioche en pierre
minecraft:stone_axe, Hache en pierre
minecraft:diamond_sword, Épée en diamant
minecraft:diamond_shovel, Pelle en diamant
minecraft:diamond_pickaxe, Pioche en diamant
minecraft:diamond_axe, Hache en diamant
minecraft:stick, Bâton
minecraft:bowl, Bol
minecraft:mushroom_stew, Soupe de champignons
minecraft:golden_sword, Épée en or
minecraft:golden_shovel, Pelle en or
minecraft:golden_pickaxe, Pioche en or
